Pradiniai duomenys:
APavadinimas,Kaunas,861717546
Samsung,RS27T5200SR,A+,Green,1001,27.4,Freestanding,True,70.5,35.8,36.1
Panasonic,NNSD967S,A+,Silver,239.99,1200,10
Breville,BKE820SIL,A,Stainless Steel,129.99,1800,1.7

CPavadinimas,Kaunas,861717546
Samsung,RS27T5200SR,A+,Blue,890.99,55,Freestanding,True,70.5,55,36.1
Panasonic,NNSD967S,A,Silver,229.99,1200,10
Breville,BKE820SIL,A+,Stainless Steel,129.99,1800,1.7

BPavadinimas,Vilnius,861717546
Samsung,RS27T5200SR,A,Orange,899.99,56,Freestanding,True,70.5,56.5,36.1
Panasonic,NNSD967S,A+,Silver,229.99,1200,10
Breville,BKE820SIL,A+,Steel,120.99,1800,1.7

